,Frame,X,Y,Z
4197,2099,0.021825582,-0.030160637,0.58424646
4199,2100,0.021825582,-0.030160637,0.58424646
4201,2101,0.021825582,-0.030160637,0.58424646
4203,2102,0.022115118,-0.030151162,0.58410808
4205,2103,0.021825582,-0.030160637,0.58424646
4207,2104,0.022115118,-0.030151162,0.58410808
4209,2105,0.021825582,-0.030160637,0.58424646
4211,2106,0.021825582,-0.030160637,0.58424646
4213,2107,0.022115118,-0.030151162,0.58410808
4215,2108,0.022115118,-0.030151162,0.58410808
4217,2109,0.022115118,-0.030151162,0.58410808
4219,2110,0.022115118,-0.030151162,0.58410808
4221,2111,0.022115118,-0.030151162,0.58410808
4223,2112,0.022115118,-0.030151162,0.58410808
4225,2113,0.022115118,-0.030151162,0.58410808
4227,2114,0.022115118,-0.030151162,0.58410808
4229,2115,0.022115118,-0.030151162,0.58410808
4231,2116,0.022117628,-0.030308792,0.58410859
4233,2117,0.022117628,-0.030308792,0.58410859
4235,2118,0.022117628,-0.030308792,0.58410859
4237,2119,0.022117628,-0.030308792,0.58410859
4239,2120,0.022117628,-0.030308792,0.58410859
4241,2121,0.022117628,-0.030308792,0.58410859
4243,2122,0.022117628,-0.030308792,0.58410859
4245,2123,0.022117628,-0.030308792,0.58410859
4247,2124,0.022117628,-0.030308792,0.58410859
4249,2125,0.022117628,-0.030308792,0.58410859
4251,2126,0.022117628,-0.030308792,0.58410859
4253,2127,0.022117628,-0.030308792,0.58410859
4255,2128,0.022117628,-0.030308792,0.58410859
4257,2129,0.022117628,-0.030308792,0.58410859
4259,2130,0.022117628,-0.030308792,0.58410859
4261,2131,0.022117628,-0.030308792,0.58410859
4263,2132,0.022117628,-0.030308792,0.58410859
4265,2133,0.022117628,-0.030308792,0.58410859
4267,2134,0.022117628,-0.030308792,0.58410859
4269,2135,0.022115065,-0.030453637,0.58410383
4271,2136,0.022117628,-0.030308792,0.58410859
4273,2137,0.022117628,-0.030308792,0.58410859
